"","Family","Species","Species_2015"
"59","Chaetodontidae","Heniochus diphreutes","Heniochus spp."
"60","Chaetodontidae","Heniochus intermedius","Heniochus spp."
"61","Chaetodontidae","Heniochus spp.","Heniochus spp."
"62","Cirrhitidae","Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus"
"63","Cirrhitidae","Paracirrhites forsteri","Paracirrhites forsteri"
"64","Clupeidae","Spratelloides gracilis","Clupeidae"
"65","Dasyatidae","Taeniura lymma","Taeniura lymma"
"66","Diodontidae","Cyclichthys spilostylus","Diodontidae"
"67","Diodontidae","Diodon holocanthus","Diodontidae"
"68","Diodontidae","Diodon hystrix","Diodontidae"
"69","Diodontidae","Diodon spp.","Diodontidae"
"70","Fistulariidae","Fistularia commersonii","Fistularia commersonii"
"71","Gerreidae","Gerres oyena","Gerreidae"
"72","Gobiidae","Amblyeleotris steinitzi","Gobiidae"
"73","Gobiidae","Amblyeleotris sungami","Gobiidae"
"74","Gobiidae","Amblygobius albimaculatus","Gobiidae"
"75","Gobiidae","Asterropteryx semipunctata","Gobiidae"
"76","Gobiidae","Bryaninops natans","Gobiidae"
"77","Gobiidae","Cryptocentrus caeruleopunctatus","Gobiidae"
"78","Gobiidae","Ctenogobiops maculosus","Gobiidae"
"79","Gobiidae","Eviota guttata","Gobiidae"
"80","Gobiidae","Eviota prasina","Gobiidae"
"81","Gobiidae","Eviota prasites","Gobiidae"
"82","Gobiidae","Eviota sebreei","Gobiidae"
"83","Gobiidae","Fusigobius longispinus","Gobiidae"
"84","Gobiidae","Fusigobius neophytus","Gobiidae"
"85","Gobiidae","Gnatholepis anjerensis","Gobiidae"
"86","Gobiidae","Gobiidae spp.","Gobiidae"
"87","Gobiidae","Gobiodon citrinus","Gobiidae"
"88","Gobiidae","Gobiodon reticulatus","Gobiidae"
"89","Gobiidae","Gobiodon rivulatus","Gobiidae"
"90","Gobiidae","Istigobius decoratus","Gobiidae"
"91","Gobiidae","Koumansetta hectori","Gobiidae"
"92","Gobiidae","Lotilia graciliosa","Gobiidae"
"93","Gobiidae","Paragobiodon echinocephalus","Gobiidae"
"94","Gobiidae","Paragobiodon xanthosoma","Gobiidae"
"95","Gobiidae","Pleurosicya micheli","Gobiidae"
"96","Gobiidae","Trimma avidori","Gobiidae"
"97","Gobiidae","Trimma barralli","Gobiidae"
"98","Gobiidae","Trimma flavicaudatum","Gobiidae"
"99","Hemiramphidae","Hemiramphus far","Hemiramphidae"
"100","Hemiramphidae","Hyporhamphus gamberur","Hemiramphidae"
"101","Holocentridae","Myripristis murdjan","Holocentridae"
"102","Holocentridae","Neoniphon sammara","Holocentridae"
"103","Holocentridae","Sargocentron caudimaculatum","Sargocentron spp."
"104","Holocentridae","Sargocentron diadema","Sargocentron spp."
"105","Holocentridae","Sargocentron rubrum","Sargocentron spp."
"106","Holocentridae","Sargocentron spiniferum","Sargocentron spp."
"107","Holocentridae","Sargocentron spp.","Sargocentron spp."
"108","Labridae","Anampses lineatus","Labridae"
"109","Labridae","Anampses meleagrides","Labridae"
"110","Labridae","Anampses spp.","Labridae"
"111","Labridae","Anampses twistii","Labridae"
"112","Labridae","Bodianus anthioides","Bodianus anthioides"
"113","Labridae","Bodianus axillaris","Labridae"
"114","Labridae","Bodianus diana","Labridae"
"115","Labridae","Cheilinus abudjubbe","Labridae"
"116","Labridae","Cheilinus lunulatus","Labridae"
"117","Labridae","Cheilio inermis","Labridae"
"118","Labridae","Cirrhilabrus rubriventralis","Labridae"
"119","Labridae","Coris aygula","Labridae"
"120","Labridae","Coris caudimacula","Coris caudimacula"
"121","Labridae","Coris cuvieri","Labridae"
"122","Labridae","Coris variegata","Labridae"
"123","Labridae","Gomphosus caeruleus","Gomphosus caeruleus"
"124","Labridae","Halichoeres hortulanus","Labridae"
"125","Labridae","Halichoeres marginatus","Labridae"
"126","Labridae","Halichoeres scapularis","Labridae"
"127","Labridae","Halichoeres spp.","Labridae"
"128","Labridae","Hemigymnus fasciatus","Labridae"
"129","Labridae","Hologymnosus annulatus","Labridae"
"130","Labridae","Labrid spp. ","Labridae"
"131","Labridae","Labroides dimidiatus","Labroides dimidiatus"
"132","Labridae","Larabicus quadrilineatus","Larabicus quadrilineatus"
"133","Labridae","Macropharyngodon bipartitus","Labridae"
"134","Labridae","Oxycheilinus digramma","Labridae"
"135","Labridae","Paracheilinus octotaenia","Labridae"
"136","Labridae","Pseudocheilinus evanidus","Pseudocheilinus evanidus"
"137","Labridae","Pseudocheilinus hexataenia","Pseudocheilinus hexataenia"
"138","Labridae","Stethojulis albovittata","Labridae"
"139","Labridae","Stethojulis interrupta","Labridae"
"140","Labridae","Stethojulis spp.","Labridae"
"141","Labridae","Thalassoma lunare","Thalassoma spp."
"142","Labridae","Thalassoma rueppellii","Thalassoma spp."
"143","Labridae","Thalassoma spp.","Thalassoma spp."
"144","Lethrinidae","Lethrinus borbonicus","Lethrinidae"
"145","Lethrinidae","Lethrinus mahsena","Lethrinidae"
"146","Lethrinidae","Lethrinus nebulosus","Lethrinidae"
"147","Lethrinidae","Lethrinus obsoletus","Lethrinidae"
"148","Lethrinidae","Lethrinus spp.","Lethrinidae"
"149","Lethrinidae","Monotaxis grandoculis","Lethrinidae"
"150","Lutjanidae","Lutjanus bohar","Lethrinidae"
"151","Monacanthidae","Aluterus scriptus","Monacanthidae"
"152","Monacanthidae","Amanses scopas","Monacanthidae"
"153","Monacanthidae","Cantherhines dumerilii","Monacanthidae"
"154","Monacanthidae","Cantherhines pardalis","Monacanthidae"
"155","Monacanthidae","Monacanthidae spp. ","Monacanthidae"
"156","Monacanthidae","Oxymonacanthus halli","Monacanthidae"
"157","Mugilidae","Crenimugil crenilabis","Mugilidae"
"158","Mugilidae","Mugilidae spp.","Mugilidae"
"159","Mullidae","Mullidae spp. ","Mullidae"
"160","Mullidae","Mulloidichthys flavolineatus","Mullidae"
"161","Mullidae","Mulloidichthys vanicolensis","Mullidae"
"162","Mullidae","Parupeneus cyclostomus","Parupeneus cyclostomus"
"163","Mullidae","Parupeneus forsskali","Mullidae"
"164","Mullidae","Parupeneus macronemus","Mullidae"
"165","Mullidae","Parupeneus rubescens","Mullidae"
"166","Muraenidae","Gymnothorax flavimarginatus","Muraenidae"
"167","Muraenidae","Gymnothorax griseus","Muraenidae"
"168","Muraenidae","Gymnothorax javanicus","Muraenidae"
"169","Muraenidae","Gymnothorax nudivomer","Muraenidae"
"170","Muraenidae","Gymnothorax undulatus","Muraenidae"
"171","Muraenidae","Muraenidae spp.","Muraenidae"
"172","Nemipteridae","Scolopsis ghanam","Scolopsis ghanam"
"173","Ophichthidae","Myrichthys maculosus","Ophichthidae"
"174","Ostraciidae","Ostracion cubicus","Ostracion spp."
"175","Ostraciidae","Ostracion cyanurus","Ostracion spp."
"176","Ostraciidae","Ostracion spp.","Ostracion spp."
"177","Pempheridae","Parapriacanthus ransonneti","Pempheridae"
"178","Pinguipedidae","Parapercis hexophtalma","Pinguipedidae"
"179","Pinguipedidae","Pinguipedidae spp.","Pinguipedidae"
"180","Platycephalidae","Papilloculiceps longiceps","Platycephalidae"
"181","Pomacanthidae","Apolemichthys xanthotis","Apolemichthys xanthotis"
"182","Pomacanthidae","Centropyge multispinis","Centropyge multispinis"
"183","Pomacanthidae","Pomacanthus imperator","Pomacentridae"
"184","Pomacanthidae","Pygoplites diacanthus","Pomacanthidae"
"185","Pomacentridae","Abudefduf sexfasciatus","Abudefduf spp."
"186","Pomacentridae","Abudefduf sordidus","Abudefduf spp."
"187","Pomacentridae","Abudefduf spp.","Abudefduf spp."
"188","Pomacentridae","Abudefduf vaigiensis","Abudefduf spp."
"189","Pomacentridae","Amblyglyphidodon flavilatus","Amblyglyphidodon spp."
"190","Pomacentridae","Amblyglyphidodon indicus","Amblyglyphidodon spp."
"191","Pomacentridae","Amblyglyphidodon leucogaster","Amblyglyphidodon spp."
"192","Pomacentridae","Amblyglyphidodon spp.","Amblyglyphidodon spp."
"193","Pomacentridae","Amphiprion bicinctus","Amphiprion bicinctus"
"194","Pomacentridae","Chromis dimidiata","Chromis dimidiata"
"195","Pomacentridae","Chromis flavaxilla","Chromis spp."
"196","Pomacentridae","Chromis pelloura","Chromis spp."
"197","Pomacentridae","Chromis pembae","Chromis spp."
"198","Pomacentridae","Chromis spp.","Chromis spp."
"199","Pomacentridae","Chromis ternatensis","Chromis spp."
"200","Pomacentridae","Chromis viridis","Chromis viridis"
"201","Pomacentridae","Chromis weberi","Chromis spp."
"202","Pomacentridae","Chrysiptera unimaculata","Pomacentridae"
"203","Pomacentridae","Dascyllus aruanus","Dascyllus aruanus"
"204","Pomacentridae","Dascyllus marginatus","Dascyllus marginatus"
"205","Pomacentridae","Dascyllus trimaculatus","Dascyllus trimaculatus"
"206","Pomacentridae","Neoglyphidodon melas","Neoglyphidodon melas"
"207","Pomacentridae","Neopomacentrus miryae","Neopomacentrus miryae"
"208","Pomacentridae","Plectroglyphidodon lacrymatus","Pomacentridae"
"209","Pomacentridae","Plectroglyphidodon leucozonus","Pomacentridae"
"210","Pomacentridae","Plectroglyphidodon spp.","Pomacentridae"
"211","Pomacentridae","Pomacanthus spp.","Pomacentridae"
"212","Pomacentridae","Pomacentrus sulfureus","Pomacentrus sulfureus"
"213","Pomacentridae","Pomacentrus trichrourus","Pomacentrus trichrourus"
"214","Pomacentridae","Pomacentrus trilineatus","Pomacentridae"
"215","Priacanthidae","Priacanthus hamrur","Priacanthidae"
"216","Pseudochromidae","Haliophis guttatus","Pseudochromidae"
"217","Pseudochromidae","Haliophis sp.","Pseudochromidae"
"218","Pseudochromidae","Pseudochromis flavivertex","Pseudochromidae"
"219","Pseudochromidae","Pseudochromis fridmani","Pseudochromis fridmani"
"220","Pseudochromidae","Pseudochromis olivaceus","Pseudochromis olivaceus"
"221","Pseudochromidae","Pseudochromis pesi","Pseudochromidae"
"222","Pseudochromidae","Pseudochromis spp.","Pseudochromidae"
"223","Pseudochromidae","Pseudochromis springeri","Pseudochromis springeri"
"224","Scaridae","Calotomus viridescens","Scaridae"
"225","Scaridae","Cetoscarus bicolor","Scaridae"
"226","Scaridae","Chlorurus gibbus","Scaridae"
"227","Scaridae","Chlorurus sordidus","Scaridae"
"228","Scaridae","Hipposcarus harid","Scaridae"
"229","Scaridae","Scaridae spp.","Scaridae"
"230","Scaridae","Scarus collana","Scaridae"
"231","Scaridae","Scarus ferrugineus","Scaridae"
"232","Scaridae","Scarus frenatus","Scaridae"
"233","Scaridae","Scarus fuscopurpureus","Scaridae"
"234","Scaridae","Scarus niger","Scaridae"
"235","Scaridae","Scarus psittacus","Scaridae"
"236","Scaridae","Scarus spp.","Scaridae"
"237","Scorpaenidae","Pterois miles","Pterois miles"
"238","Scorpaenidae","Pterois radiata","Pterois radiata"
"239","Scorpaenidae","Scorpaenodes parvipinnis","Scorpaenidae"
"240","Scorpaenidae","Scorpaenopsis barbata","Scorpaenidae"
"241","Scorpaenidae","Scorpaenopsis diabolus","Scorpaenidae"
"242","Scorpaenidae","Scorpaenopsis spp.","Scorpaenidae"
"243","Scorpaenidae","Sebastapistes cyanostigma","Scorpaenidae"
"244","Serranidae","Aethaloperca rogaa","Serranidae"
"245","Serranidae","Cephalopholis argus","Serranidae"
"246","Serranidae","Cephalopholis hemistiktos","Serranidae"
"247","Serranidae","Cephalopholis miniata","Serranidae"
"248","Serranidae","Epinephelus fasciatus","Epinephelus fasciatus"
"249","Serranidae","Epinephelus malabaricus","Serranidae"
"250","Serranidae","Epinephelus tauvina","Serranidae"
"251","Serranidae","Grammistes sexlineatus","Grammistes sexlineatus"
"252","Serranidae","Pseudanthias spp.","Pseudanthias spp."
"253","Serranidae","Pseudanthias squamipinnis","Pseudanthias spp."
"254","Serranidae","Serranidae spp.","Serranidae"
"255","Serranidae","Variola louti","Variola louti"
"256","Siganidae","Siganus  spp.","Siganus  spp."
"257","Siganidae","Siganus argenteus","Siganus  spp."
"258","Siganidae","Siganus luridus","Siganus  spp."
"259","Siganidae","Siganus rivulatus","Siganus  spp."
"260","Siganidae","Siganus stellatus","Siganus  spp."
"261","Soleidae","Pardachirus marmoratus","Soleidae"
"262","Sparidae","Acanthopagrus bifasciatus","Sparidae"
"263","Sparidae","Diplodus noct","Sparidae"
"264","Sphyraenidae","Sphyraena barracuda","Sphyraena barracuda"
"265","Sphyraenidae","Sphyraena flavicauda","Sphyraena flavicauda"
"266","Synanceiidae","Inimicus filamentosus","Synanceiidae"
"267","Synanceiidae","Synanceia verrucosa","Synanceia verrucosa"
"268","Syngnathidae","Corythoichthys flavofasciatus","Syngnathidae"
"269","Syngnathidae","Corythoichthys nigripectus","Syngnathidae"
"270","Syngnathidae","Corythoichthys schultzi","Syngnathidae"
"271","Syngnathidae","Dunckerocampus multiannulatus","Syngnathidae"
"272","Syngnathidae","Syngnathidae spp.","Syngnathidae"
"273","Synodontidae","Saurida gracilis","Synodontidae"
"274","Synodontidae","Synodontidae spp.","Synodontidae"
"275","Synodontidae","Synodus variegatus","Synodontidae"
"276","Tetraodontidae","Arothron diadematus","Arothron spp."
"277","Tetraodontidae","Arothron hispidus","Arothron spp."
"278","Tetraodontidae","Arothron spp.","Arothron spp."
"279","Tetraodontidae","Canthigaster coronata","Canthigaster spp."
"280","Tetraodontidae","Canthigaster margaritata","Canthigaster spp."
"281","Tetraodontidae","Canthigaster pygmaea","Canthigaster spp."
"282","Tetraodontidae","Canthigaster spp.","Canthigaster spp."
"283","Torpedinidae","Torpedo panthera","Torpedinidae"
"284","Tripterygiidae","Enneapterygius pusillus","Tripterygiidae"
"285","Tripterygiidae","Tripterygiidae sp.","Tripterygiidae"
