Trip date,Location,SiteNo,Right observer,Left observer,Direction,Number_Ind,Length,Species,Family,Order
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,15,Parupeneus forsskali,Mullidae,Perciformes
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,6,Ecsenius gravieri,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,8,Ecsenius gravieri,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,6,Pseudocheilinus hexataenia,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,2,4,Pseudocheilinus hexataenia,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,10,2,Neopomacentrus miryae,,
26/09/2017,Katza,1,Shahar Malamud,Renanel Pickholtz,Right,1,8,Chaetodon paucifasciatus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,16,14,Dascyllus trimaculatus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,16,Sufflamen albicaudatus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,100,10,Pseudanthias spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,20,12,Pseudanthias spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,50,5,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,30,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,100,1,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,5,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,2,9,Zebrasoma xanthurum,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,2,3,Zebrasoma xanthurum,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,30,Zebrasoma xanthurum,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,26,Cephalopholis miniata,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,20,Cephalopholis miniata,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,18,Cephalopholis miniata,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,14,Scolopsis ghanam,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,9,Pomacentrus trichourus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,8,Acanthurus nigrofuscus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,6,4,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,32,Arothron hispidus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,2,7,Labroides dimidiatus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,16,Parupeneus forsskali,Mullidae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,3,Pseudochromis fridmani,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,4,Pseudochromis olivaceus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,8,Pseudochromis olivaceus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,12,4,Neopomacentrus miryae,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,8,4,Neopomacentrus miryae,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,1,10,Amphiprion bicinctus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,15,3,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Left,2,9,Chaetodon paucifasciatus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,40,Scaridae spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,2,12,Zebrasoma xanthurum,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,12,10,Dascyllus trimaculatus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,10,Thalassoma spp.,Labridae ,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,12,Thalassoma spp.,Labridae ,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,30,Cephalopholis miniata,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,40,Cephalopholis miniata,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,30,5,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,25,Heniochus diphreutes,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,2,6,Pseudochromis olivaceus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,4,Pseudochromis springeri,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,8,Pomacentrus trichourus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,2,6,Pomacentrus trichourus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,4,Pomacentrus trichourus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,60,6,Pseudanthias spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,40,4,Pseudanthias spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,12,Chaetodon austriacus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,10,Chaetodon austriacus,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,50,Diodon spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,40,Diodon spp.,,
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,100,2,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,30,3,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,50,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,50,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,4,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,2,Shahar Malamud,Renanel Pickholtz,Right,1,8,Amphiprion bicinctus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,25,Scaridae spp.,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,20,Pomacanthus imperator,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,20,Cephalopholis argus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,25,Cephalopholis argus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,20,Siganus luridus,Siganidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,6,Siganus luridus,Siganidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,12,Acanthurus nigrofuscus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,3,15,Zebrasoma xanthurum,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,8,Zebrasoma xanthurum,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,13,Dascyllus trimaculatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,3,10,Dascyllus trimaculatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,10,Abudefduf spp.,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,6,Syngnathidae spp.,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,2,Pomacentrus trichourus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,4,Pomacentrus trichourus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,3,4,Pomacentrus trichourus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,2,Pomacentrus trichourus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,10,6,Pseudanthias squamipinnis,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,4,Pseudocheilinus hexataenia,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,6,Pseudocheilinus hexataenia,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,80,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,10,5,Neopomacentrus miryae,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,7,Gomphosus caeruleus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,6,Pseudochromis olivaceus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,8,Labroides dimidiatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,6,Parupeneus forsskali,Mullidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,4,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,6,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,6,Larabicus quadrilineatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,3,5,Coris caudimacula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,6,Coris caudimacula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,4,Coris aygula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,50,Coris aygula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,3,6,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,6,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,5,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,5,Meiacanthus nigrolineatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,2,4,Meiacanthus nigrolineatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,20,Ctenochaetus striatus,Acanthuridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Left,1,5,Ecsenius gravieri,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,2,35,Zebrasoma xanthurum,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,20,Zebrasoma xanthurum,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,12,Zebrasoma xanthurum,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,40,Cephalopholis argus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,25,Scaridae spp.,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,30,Pomacanthus imperator,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,10,Acanthurus nigrofuscus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,30,Acanthurus nigrofuscus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,8,Acanthurus nigrofuscus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,2,8,Siganus luridus,Siganidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,2,8,Larabicus quadrilineatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,4,Meiacanthus nigrolineatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,10,4,Pomacentrus trichourus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,2,5,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,3,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,8,Dascyllus trimaculatus,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,10,Plagiotremus spp.,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,7,Parupeneus forsskali,Mullidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,3,5,Neopomacentrus miryae,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,3,Ecsenius gravieri,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,20,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,10,6,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,10,2,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,10,8,Pseudanthias squamipinnis,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,5,3,Pseudanthias squamipinnis,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,5,5,Pseudanthias squamipinnis,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,3,5,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,3,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,8,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,5,Synodontidae spp.,,
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,5,Coris aygula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,40,Coris aygula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,5,Coris caudimacula,Labridae ,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,3,8,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,3,Noam Sommerfeld,Tal Gavriely,Right,1,5,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,8,Thalassoma rueppellii,Labridae ,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,6,Thalassoma rueppellii,Labridae ,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,18,Zebrasoma xanthurum,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,15,Zebrasoma xanthurum,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,16,Zebrasoma xanthurum,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,14,Ctenochaetus striatus,Acanthuridae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,18,Ctenochaetus striatus,Acanthuridae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,20,Ctenochaetus striatus,Acanthuridae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,11,10,Dascyllus trimaculatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,4,13,Dascyllus trimaculatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,4,5,Pomacentrus trichourus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,3,5,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,6,Dascyllus marginatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,8,Dascyllus marginatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,7,9,Pseudanthias spp.,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,2,7,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,5,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,12,4,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,4,Pseudocheilinus hexataenia,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,5,Pseudocheilinus hexataenia,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,20,3,Apogon spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,7,Pomacentrus sulfureus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,4,Ecsenius gravieri,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,2,4,Ecsenius gravieri,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,14,Synodontidae spp.,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,28,Cephalopholis miniata,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,4,Paracheilinus octotaenia,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,1,Ostracion cubicus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Left,1,9,Acanthurus nigrofuscus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,6,10,Dascyllus trimaculatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,2,16,Zebrasoma xanthurum,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,14,Zebrasoma xanthurum,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,30,Cephalopholis miniata,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,150,4,Chromis virdis,Pomacentridae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,60,4,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,10,8,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,20,8,Cheilodipterus spp.,Apogonidae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,20,Serranidae spp,Serranidae ,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,30,Serranidae spp,Serranidae ,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,6,6,Chromis dimidiata,Pomacentridae,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,6,6,Pomacentrus trichourus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,2,4,Dascyllus marginatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,2,Dascyllus marginatus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,2,6,Thalassoma rueppellii,Labridae ,Perciformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,10,6,Pseudanthias squamipinnis,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,8,Ecsenius gravieri,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,30,Muraenidae spp.,Muraenidae,Anguilliformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,60,Muraenidae spp.,Muraenidae,Anguilliformes
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,2,Ostracion cubicus,,
26/09/2017,Katza,4,Shahar Malamud,Renanel Pickholtz,Right,1,16,Acanthurus nigrofuscus,,
