"","Site","Knoll","Year","Date","year_month","survey_id","Observer","Species","Species_2015","Family","Abundance","Length","Confidence","year_observer","knoll_id","Status","a","b","coral_att","storm","Diameter","P_diameter","Max_depth","Min_depth","Hight","Projected_area","Mean_Complexity","Surface_Area","Stony_Coral","Soft_Coral","coral_cover","Algae","DD_X","DD_Y","ITM_X","ITM_Y"
"11","NR","11","2015",2015-10-19,"2015 b","NR_11_2015-10-19","Hezi Buba","Dascyllus marginatus","Dascyllus marginatus","Pomacentridae",1,8,NA,"Hezi Buba_2015","NR_11","C",0.02978,3,"NR_11_2015","Before",4.5,4.3,5.4,3.4,2,15.19,2.090716733,31.76757833,6.362922231,1.571091909,7.93401414,0,34.923309,29.508874,192191.3832,380161.8063
"12","Caves","1","2015",2015-10-20,"2015 b","Caves_1_2015-10-20","Noa Moshkowitz","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae",1,2,NA,"Noa Moshkowitz_2015","Caves_1","C",0.01855,3,"Caves_1_2015","Before",4.5,2.6,4,2.4,1.6,9.19,2.102207605,19.3138747,19.06666667,0.266666667,19.333333337,0.4,34.912525,29.49761,191142.6137,378915.8732
"13","Caves","2","2015",2015-10-20,"2015 b","Caves_2_2015-10-20","Noa Moshkowitz","Monacanthidae spp. ","Monacanthidae","Monacanthidae",1,2,NA,"Noa Moshkowitz_2015","Caves_2","T",0.42,2.442,"Caves_2_2015","Before",3.7,3.6,4.7,3.1,1.6,10.46,1.926342028,20.14863224,31.5920398,1.616915423,33.208955223,0.870646766,34.911974,29.497439,191089.0787,378896.9926
"14","Caves","3","2015",2015-10-20,"2015 b","Caves_3_2015-10-20","Lior Avidan","Labrid spp. ","Labridae","Labridae",1,2,NA,"Lior Avidan_2015","Caves_3","T",0.01181,3.01266666666667,"Caves_3_2015","Before",2.6,2.5,4.9,3.5,1.4,5.1,2.261095601,11.54091458,26.08695652,1.185770751,27.272727271,0.592885375,34.911831,29.497453,191075.217,378898.6655
"15","Caves","4","2015",2015-10-20,"2015 b","Caves_4_2015-10-20","Lior Avidan","Labrid spp. ","Labridae","Labridae",1,2,NA,"Lior Avidan_2015","Caves_4","T",0.01181,3.01266666666667,"Caves_4_2015","Before",3.8,3.6,4.1,2.4,1.7,10.74,2.17855391,23.40250538,18.79120879,0.549450549,19.340659339,1.318681319,34.911604,29.497531,191053.2295,378907.2694
"16","Caves","5","2015",2015-10-20,"2015 b","Caves_5_2015-10-20","Noa Moshkowitz","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,2,NA,"Noa Moshkowitz_2015","Caves_5","C",0.005955,3.142,"Caves_5_2015","Before",3.6,2.8,2.8,1.5,1.3,7.92,2.141629126,16.95167985,21.13943028,0.149925037,21.289355317,0,34.911264,29.497538,191020.2481,378908.2254
"17","Caves","6","2015",2015-10-20,"2015 b","Caves_6_2015-10-20","Noa Moshkowitz","Cheilodipterus spp.","Cheilodipterus spp.","Apogonidae",1,2,NA,"Noa Moshkowitz_2015","Caves_6","C",0.009835,3.055,"Caves_6_2015","Before",4.9,2.8,4.1,3,1.1,10.77,1.786807706,19.2504051,31.00961538,0.240384615,31.249999995,0.120192308,34.911256,29.497446,191019.5311,378897.9486
"18","Caves","7","2015",2015-10-20,"2015 b","Caves_7_2015-10-20","Shahar Malamud","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,2,NA,"Shahar Malamud_2015","Caves_7","C",0.005955,3.142,"Caves_7_2015","Before",4.9,3.7,5.2,4,1.2,14.24,2.07680733,29.5666389,16.99288256,1.423487544,18.416370104,0.355871886,34.911264,29.497299,191020.2481,378881.6969
"19","Caves","8","2015",2015-10-20,"2015 b","Caves_8_2015-10-20","Shahar Malamud","Chromis dimidiata","Chromis dimidiata","Pomacentridae",1,2,NA,"Shahar Malamud_2015","Caves_8","C",0.0273963636363636,2.95906060606061,"Caves_8_2015","Before",3.3,2.6,5.6,4.5,1.1,6.74,2.105917601,14.18850401,30.13937282,0.522648084,30.662020904,0.348432056,34.911215,29.497243,191015.4682,378875.483
"20","Caves","9","2015",2015-10-20,"2015 b","Caves_9_2015-10-20","Ori Frid","Acanthurus spp.","Acanthuridae","Acanthuridae",1,2,NA,"Ori Frid_2015","Caves_9","T",0.0113,3.1805,"Caves_9_2015","Before",3.8,1.7,3.4,2,1.4,5.07,2.19126089,11.11564199,27.75590551,2.165354331,29.921259841,0.196850394,34.911005,29.497398,190995.1536,378892.6907
"21","Caves","10","2015",2015-10-20,"2015 b","Caves_10_2015-10-20","Ori Frid","Amblyglyphidodon spp.","Amblyglyphidodon spp.","Pomacentridae",1,2,NA,"Ori Frid_2015","Caves_10","C",0.0273963636363636,2.95906060606061,"Caves_10_2015","Before",3.3,2.4,4,3.1,0.9,6.22,1.946901637,12.10813172,26.44135189,0,26.44135189,0.397614314,34.910966,29.497342,190991.3297,378886.4768
"22","Caves","11","2015",2015-10-20,"2015 b","Caves_11_2015-10-20","Itai Granot","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,2,NA,"Itai Granot_2015","Caves_11","C",0.005955,3.142,"Caves_11_2015","Before",3.5,2.6,3.4,1.7,1.7,7.15,2.242772511,16.02634774,40.39634146,0.304878049,40.701219509,0.304878049,34.91083,29.497283,190978.185,378880.0239
"23","Caves","12","2015",2015-10-20,"2015 b","Caves_12_2015-10-20","Itai Granot","Apogon spp.","Apogonidae","Apogonidae",1,4,NA,"Itai Granot_2015","Caves_12","C",0.011,3.24,"Caves_12_2015","Before",3.7,1.8,5,3.4,1.6,5.23,2.566539198,13.42239687,37.36654804,1.067615658,38.434163698,0.177935943,34.910939,29.497182,190988.7008,378868.7911
"24","Caves","13","2015",2015-10-20,"2015 b","Caves_13_2015-10-20","Renanel Pickholtz","Cheilodipterus spp.","Cheilodipterus spp.","Apogonidae",1,4,NA,"Renanel Pickholtz_2015","Caves_13","C",0.009835,3.055,"Caves_13_2015","Before",2.1,2,5.2,3.7,1.5,3.3,2.938682502,9.691921824,31.14754098,0,31.14754098,0,34.91088,29.49707,190982.9649,378856.3634
"25","Caves","14","2015",2015-10-20,"2015 b","Caves_14_2015-10-20","Renanel Pickholtz","Chromis dimidiata","Chromis dimidiata","Pomacentridae",1,2,NA,"Renanel Pickholtz_2015","Caves_14","C",0.0273963636363636,2.95906060606061,"Caves_14_2015","Before",2.5,1.8,5.5,3.9,1.6,3.53,3.612277067,12.76443255,24.47013487,6.55105973,31.0211946,2.119460501,34.910841,29.497009,190979.141,378849.6715
"26","Princess","1","2015",2015-10-21,"2015 b","Princess_1_2015-10-21","Itai Granot","Ecsenius gravieri","Ecsenius gravieri","Blenniidae",1,4,NA,"Itai Granot_2015","Princess_1","C",0.006954,3,"Princess_1_2015","Before",4.7,3.8,2.8,0.9,1.9,14.02,1.968405955,27.60603726,33.45323741,0.269784173,33.723021583,0,34.906953,29.494776,190601.4505,378603.1251
"27","Princess","2","2015",2015-10-21,"2015 b","Princess_2_2015-10-21","Itai Granot","Amblyglyphidodon spp.","Amblyglyphidodon spp.","Pomacentridae",1,4,NA,"Itai Granot_2015","Princess_2","C",0.0273963636363636,2.95906060606061,"Princess_2_2015","Before",3.4,2.6,3.9,2.2,1.7,6.94,2.163814644,15.02035737,33.5,1,34.5,0,34.906895,29.494565,190595.8172,378579.7346
"28","Princess","3","2015",2015-10-21,"2015 b","Princess_3_2015-10-21","Renanel Pickholtz","Larabicus quadrilineatus","Larabicus quadrilineatus","Labridae",1,2,NA,"Renanel Pickholtz_2015","Princess_3","C",0.01380875,3.041,"Princess_3_2015","Before",3.8,3.2,4.5,2.7,1.8,9.55,2.362740966,22.5609629,57.18954248,1.633986928,58.823529408,0,34.906811,29.494335,190587.6121,378554.2622
"29","Princess","4","2015",2015-10-21,"2015 b","Princess_4_2015-10-21","Renanel Pickholtz","Larabicus quadrilineatus","Larabicus quadrilineatus","Labridae",1,2,NA,"Renanel Pickholtz_2015","Princess_4","C",0.01380875,3.041,"Princess_4_2015","Before",4.9,3.6,4.3,2,2.3,13.85,2.297784191,31.82847003,42.18266254,3.018575851,45.201238391,0,34.906752,29.494216,190581.8564,378541.0362
"30","Princess","5","2015",2015-10-21,"2015 b","Princess_5_2015-10-21","Shahar Malamud","Amphiprion bicinctus","Amphiprion bicinctus","Pomacentridae",1,4,NA,"Shahar Malamud_2015","Princess_5","C",0.01855,3,"Princess_5_2015","Before",3.1,1.7,5.6,4.5,1.1,4.14,1.895068134,7.842298869,32.0754717,2.830188679,34.905660379,0,34.906851,29.494175,190591.4085,378536.505
"31","Princess","6","2015",2015-10-21,"2015 b","Princess_6_2015-10-21","Ofri Mann","Labrid spp. ","Labridae","Labridae",1,2,NA,"Ofri Mann_2015","Princess_6","T",0.01181,3.01266666666667,"Princess_6_2015","Before",2.7,2.1,4.4,2.7,1.7,4.45,2.487577474,11.0756091,35.88709677,0.806451613,36.693548383,0,34.906657,29.494168,190572.5491,378535.7703
"32","Princess","7","2015",2015-10-21,"2015 b","Princess_7_2015-10-21","Itai Granot","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,2,NA,"Itai Granot_2015","Princess_7","C",0.005955,3.142,"Princess_7_2015","Before",3,2,5.6,4.1,1.5,4.71,2.356663283,11.10341906,30.04291845,2.145922747,32.188841197,0,34.906558,29.493886,190562.8745,378504.5421
"33","Princess","8","2015",2015-10-21,"2015 b","Princess_8_2015-10-21","Renanel Pickholtz","Chromis viridis","Chromis viridis","Pomacentridae",1,2,NA,"Renanel Pickholtz_2015","Princess_8","C",0.021625,2.892,"Princess_8_2015","Before",2.7,2.2,4.5,3,1.5,4.66,2.907275145,13.56065058,33.15217391,1.086956522,34.239130432,0,34.906217,29.493711,190529.7996,378485.2418
"34","Princess","9","2015",2015-10-21,"2015 b","Princess_9_2015-10-21","Ofri Mann","Chromis dimidiata","Chromis dimidiata","Pomacentridae",1,2,NA,"Ofri Mann_2015","Princess_9","C",0.0273963636363636,2.95906060606061,"Princess_9_2015","Before",3.3,2.7,4.9,3.4,1.5,7,2.5184055,17.62021926,32.5443787,1.479289941,34.023668641,0,34.90624,29.493626,190531.9942,378475.8367
"35","Princess","10","2015",2015-10-21,"2015 b","Princess_10_2015-10-21","Ofri Mann","Ostracion spp.","Ostracion spp.","Ostraciidae",1,2,NA,"Ofri Mann_2015","Princess_10","T",0.101,2.588,"Princess_10_2015","Before",3.4,2.4,3.9,1.9,2,6.41,2.859318154,18.32148138,38.51091142,0.385109114,38.896020534,0,34.906102,29.493586,190518.5918,378471.3692
"36","Princess","11","2015",2015-10-21,"2015 b","Princess_11_2015-10-21","Noa Moshkowitz","Plagiotremus townsendi","Plagiotremus townsendi","Blenniidae",1,2,NA,"Noa Moshkowitz_2015","Princess_11","C",0.0056,3,"Princess_11_2015","Before",4.7,3.7,3.6,1.6,2,13.66,2.201920819,30.06832424,44.92875105,0.083822297,45.012573347,0,34.906049,29.493522,190513.4189,378464.3153
"37","Princess","12","2015",2015-10-21,"2015 b","Princess_12_2015-10-21","Noa Moshkowitz","Labrid spp. ","Labridae","Labridae",1,2,NA,"Noa Moshkowitz_2015","Princess_12","T",0.01181,3.01266666666667,"Princess_12_2015","Before",4.4,3.1,2.9,0.8,2.1,10.71,2.634047767,28.21278516,53.28659071,0,53.28659071,0,34.905871,29.493339,190496.132,378444.0452
"38","Princess","13","2015",2015-10-21,"2015 b","Princess_13_2015-10-21","Ofri Mann","Labrid spp. ","Labridae","Labridae",1,2,NA,"Ofri Mann_2015","Princess_13","T",0.01181,3.01266666666667,"Princess_13_2015","Before",2.4,1.6,4.1,3,1.1,3.02,2.301047687,6.938487153,49.38650307,0.306748466,49.693251536,0,34.906754,29.494265,190581.9984,378546.5323
"39","Katza","1","2015",2015-10-22,"2015 b","Katza_1_2015-10-22","Itai Granot","Ostracion spp.","Ostracion spp.","Ostraciidae",1,2,NA,"Itai Granot_2015","Katza_1","T",0.101,2.588,"Katza_1_2015","Before",7.6,3.3,5.9,4.1,1.8,19.69,1.654676612,32.58731702,67.92301524,6.014434643,73.937449883,0.160384924,34.934934,29.523809,193322.3511,381814.6335
"40","Katza","2","2015",2015-10-22,"2015 b","Katza_2_2015-10-22","Itai Granot","Acanthurus spp.","Acanthuridae","Acanthuridae",1,4,NA,"Itai Granot_2015","Katza_2","T",0.0113,3.1805,"Katza_2_2015","Before",5.9,3,4.4,2.6,1.8,13.9,2.065851123,28.71310982,42.95136026,3.95713108,46.90849134,0.164880462,34.934562,29.523951,193286.3058,381830.4716
"41","Katza","3","2015",2015-10-22,"2015 b","Katza_3_2015-10-22","Renanel Pickholtz","Aetobatus narinari","Aetobatidae","Aetobatidae",1,1,NA,"Renanel Pickholtz_2015","Katza_3","T",NA,NA,"Katza_3_2015","Before",4.3,3,4.8,3.2,1.6,10.13,1.833401255,18.57185052,24.35158501,3.314121037,27.665706047,0.288184438,34.933968,29.52376,193228.688,381809.4452
"42","Katza","4","2015",2015-10-22,"2015 b","Katza_4_2015-10-22","Renanel Pickholtz","Labrid spp. ","Labridae","Labridae",1,4,NA,"Renanel Pickholtz_2015","Katza_4","T",0.01181,3.01266666666667,"Katza_4_2015","Before",4.6,3.2,3.3,2,1.3,11.56,1.91719216,22.16059411,41.6969697,8.363636364,50.060606064,0,34.933692,29.523826,193201.9271,381816.8181
"43","Katza","5","2015",2015-10-22,"2015 b","Katza_5_2015-10-22","Renanel Pickholtz","Pinguipedidae spp.","Pinguipedidae","Pinguipedidae",1,4,NA,"Renanel Pickholtz_2015","Katza_5","C",0.00759,3.14,"Katza_5_2015","Before",2,1.7,3.2,2,1.2,2.67,2.383380263,6.363267794,54.33070866,5.118110236,59.448818896,0,34.933506,29.523717,193183.9044,381804.803
"44","Katza","6","2015",2015-10-22,"2015 b","Katza_6_2015-10-22","Renanel Pickholtz","Chromis spp.","Chromis spp.","Pomacentridae",1,8,NA,"Renanel Pickholtz_2015","Katza_6","C",0.0273963636363636,2.95906060606061,"Katza_6_2015","Before",4.3,4.2,2.8,0.6,2.2,14.18,1.991127277,28.23740046,35.99274705,3.445149592,39.437896642,0,34.933343,29.523687,193168.0663,381801.5261
"45","Katza","7","2015",2015-10-22,"2015 b","Katza_7_2015-10-22","Itai Granot","Labrid spp. ","Labridae","Labridae",1,4,NA,"Itai Granot_2015","Katza_7","T",0.01181,3.01266666666667,"Katza_7_2015","Before",3.4,3,3.4,1.8,1.6,8.01,1.956300014,15.66908278,38.47402597,6.168831169,44.642857139,0,34.933423,29.523476,193175.7123,381778.0421
"46","Katza","8","2015",2015-10-22,"2015 b","Katza_8_2015-10-22","Lior Avidan","Acanthurus spp.","Acanthuridae","Acanthuridae",1,4,NA,"Lior Avidan_2015","Katza_8","T",0.0113,3.1805,"Katza_8_2015","Before",4.4,2.8,1.8,0.6,1.2,9.67,1.866460424,18.05666075,28.78120411,0.734214391,29.515418501,0,34.932747,29.523208,193110.1754,381748.5505
"47","Katza","9","2015",2015-10-22,"2015 b","Katza_9_2015-10-22","Lior Avidan","Amblyglyphidodon spp.","Amblyglyphidodon spp.","Pomacentridae",1,4,NA,"Lior Avidan_2015","Katza_9","C",0.0273963636363636,2.95906060606061,"Katza_9_2015","Before",4.3,2.8,1.7,0.2,1.5,9.45,2.00920858,18.99588169,19.9718706,21.51898734,41.49085794,0,34.932573,29.523058,193093.2451,381731.8932
"48","Katza","10","2015",2015-10-22,"2015 b","Katza_10_2015-10-22","Shahar Malamud","Pomacentrus sulfureus","Pomacentrus sulfureus","Pomacentridae",1,2,NA,"Shahar Malamud_2015","Katza_10","C",0.02389,3,"Katza_10_2015","Before",3,2.9,2,0.5,1.5,6.83,2.180735918,14.89807906,25.88652482,5.85106383,31.73758865,0,34.932503,29.522969,193086.4183,381722.0627
"49","Katza","11","2015",2015-10-22,"2015 b","Katza_11_2015-10-22","Ofri Mann","Acanthurus spp.","Acanthuridae","Acanthuridae",1,4,NA,"Ofri Mann_2015","Katza_11","T",0.0113,3.1805,"Katza_11_2015","Before",4,3.75,3.3,1.2,2.1,11.78,1.953941265,23.01498567,21.06481481,15.625,36.68981481,0,34.932726,29.522807,193107.9909,381704.04
"50","Katza","12","2015",2015-10-22,"2015 b","Katza_12_2015-10-22","Ofri Mann","Dascyllus trimaculatus","Dascyllus trimaculatus","Pomacentridae",1,2,NA,"Ofri Mann_2015","Katza_12","C",0.0716,2.635,"Katza_12_2015","Before",2.75,2.2,3.4,2.1,1.3,4.75,2.159603301,10.25976238,40.92009685,20.5811138,61.50121065,0,34.932678,29.522737,193103.3487,381696.3941
"51","Katza","14","2015",2015-10-22,"2015 b","Katza_14_2015-10-22","Shahar Malamud","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,2,NA,"Shahar Malamud_2015","Katza_14","C",0.005955,3.142,"Katza_14_2015","Before",2.6,1.6,3.4,2.4,1,3.27,1.968398471,6.430049182,28.96825397,8.73015873,37.6984127,0,34.932477,29.522642,193083.79,381685.8126
"52","Katza","15","2015",2015-10-22,"2015 b","Katza_15_2015-10-22","Shahar Malamud","Chromis dimidiata","Chromis dimidiata","Pomacentridae",1,4,NA,"Shahar Malamud_2015","Katza_15","C",0.0273963636363636,2.95906060606061,"Katza_15_2015","Before",3,2.3,3.4,1.7,1.7,5.42,2.36734094,12.82678586,22.01646091,21.60493827,43.62139918,0,34.932318,29.522587,193068.4298,381679.8392
"53","Katza","16","2015",2015-10-22,"2015 b","Katza_16_2015-10-22","Shahar Malamud","Apogon spp.","Apogonidae","Apogonidae",1,4,NA,"Shahar Malamud_2015","Katza_16","C",0.011,3.24,"Katza_16_2015","Before",2.8,2.3,1.9,0.3,1.6,5.06,2.580701637,13.05063398,18.77256318,1.805054152,20.577617332,0,34.932318,29.522818,193068.4298,381705.4395
"54","Katza","17","2015",2015-10-22,"2015 b","Katza_17_2015-10-22","Renanel Pickholtz","Larabicus quadrilineatus","Larabicus quadrilineatus","Labridae",1,4,NA,"Renanel Pickholtz_2015","Katza_17","C",0.01380875,3.041,"Katza_17_2015","Before",2.6,1.6,2,0.8,1.2,3.27,2.220127586,7.252357579,38.4341637,0.355871886,38.790035586,0.355871886,34.934105,29.524285,193242.0855,381867.575
"55","Katza","18","2015",2015-10-22,"2015 b","Katza_18_2015-10-22","Itai Granot","Meiacanthus nigrolineatus","Meiacanthus nigrolineatus","Blenniidae",1,4,NA,"Itai Granot_2015","Katza_18","C",0.0133,3,"Katza_18_2015","Before",2.6,2.3,2.2,1.2,1,4.7,2.134353061,10.02248443,60.26666667,1.866666667,62.133333337,0,34.933617,29.524007,193194.7248,381836.8546
"56","NR","12","2016",2016-09-19,"2016 b","NR_12_2016-09-19","Shahar Malamud","Labroides dimidiatus","Labroides dimidiatus","Labridae",1,16,NA,"Shahar Malamud_2016","NR_12","C",0.005955,3.142,"NR_12_2016","Before",6.4,4.3,4.3,2.1,2.2,21.61008,2.73600724,11.27936085,32.32278199,1.114578689,33.437360679,1.203744984,34.92394,29.510232,192252.8498,380312.2276
"57","NR","13","2016",2016-09-19,"2016 b","NR_13_2016-09-19","Shahar Malamud","Scaridae spp.","Scaridae","Scaridae",4,32,NA,"Shahar Malamud_2016","NR_13","T",0.0248134375,2.93332291666667,"NR_13_2016","Before",5.5,3.4,4.4,3.1,1.3,14.684175,2.155200154,9.308040064,24.37449556,0.645682002,25.020177562,0.1614205,34.923901,29.510091,192249.032,380296.5746
"58","NR","14","2016",2016-09-19,"2016 b","NR_14_2016-09-19","Ori Frid","Scaridae spp.","Scaridae","Scaridae",4,64,NA,"Ori Frid_2016","NR_14","T",0.0248134375,2.93332291666667,"NR_14_2016","Before",5.4,3.4,4.4,2.7,1.7,14.41719,2.428062355,6.177500525,35.84379358,1.046025105,36.889818685,0.836820084,34.923846,29.509987,192243.6871,380285.1212
"59","NR","15","2016",2016-09-19,"2016 b","NR_15_2016-09-19","Hezi Buba","Thalassoma rueppellii","Thalassoma spp.","Labridae",3,32,NA,"Hezi Buba_2016","NR_15","T",0.01380875,3.041,"NR_15_2016","Before",6,4.4,3.9,1.8,2.1,20.7306,2.162405212,6.520430181,19.63154865,14.50777202,34.13932067,0.287852619,34.923967,29.510414,192255.5528,380332.4161
"60","NR","16","2016",2016-09-19,"2016 b","NR_16_2016-09-19","Noa Moshkowitz","Zebrasoma xanthurum","Zebrasoma xanthurum","Acanthuridae",4,16,NA,"Noa Moshkowitz_2016","NR_16","T",0.0113,3.1805,"NR_16_2016","Before",6.8,6.3,9,6.9,2.1,33.64011,1.929829933,19.0031029,38.40460526,0.452302632,38.856907892,0.493421053,34.925009,29.510687,192356.6705,380362.4209
"61","NR","17","2016",2016-09-19,"2016 b","NR_17_2016-09-19","Noa Moshkowitz","Lethrinus spp.","Lethrinidae","Lethrinidae",1,32,NA,"Noa Moshkowitz_2016","NR_17","T",0.0548016666666667,2.72845,"NR_17_2016","Before",5.6,4,6.3,4.4,1.9,17.5896,2.075213346,34.74224649,55.88235294,1.323529412,57.205882352,0.955882353,34.925163,29.511089,192371.7107,380406.9091
"62","Caves","15","2016",2016-09-20,"2016 b","Caves_15_2016-09-20","Roi Holzman","Arothron diadematus","Arothron spp.","Tetraodontidae",1,16,NA,"Roi Holzman_2016","Caves_15","T",0.04625,2.84525,"Caves_15_2016","Before",7.5,5.7,5,3.4,1.6,33.5694375,1.952371452,65.54001143,21.55511811,0.984251969,22.539370079,0.492125984,34.911698,29.497421,191062.3113,378895.0806
"63","Caves","16","2016",2016-09-20,"2016 b","Caves_16_2016-09-20","Roi Holzman","Chaetodon fasciatus","Chaetodon fasciatus","Chaetodontidae",1,32,NA,"Roi Holzman_2016","Caves_16","T",0.0379275,2.918875,"Caves_16_2016","Before",6.6,3.1,4,2,2,16.066215,2.356286067,37.85659855,32.62614679,0.573394495,33.199541285,0.745412844,34.911978,29.497497,191089.5567,378903.4455
"64","Caves","17","2016",2016-09-20,"2016 b","Caves_17_2016-09-20","Roi Holzman","Chaetodon paucifasciatus","Chaetodon paucifasciatus","Chaetodontidae",2,16,NA,"Roi Holzman_2016","Caves_17","T",0.0379275,2.918875,"Caves_17_2016","Before",2.6,2.4,3.6,1.8,1.8,4.89996,2.579182761,12.63789236,81.00172712,0,81.00172712,0.345423143,34.911567,29.497546,191049.6445,378908.9423
"65","Princess","15","2016",2016-09-21,"2016 b","Princess_15_2016-09-21","Shahar Malamud","Variola louti","Variola louti","Serranidae",1,16,NA,"Shahar Malamud_2016","Princess_15","T",0.007565,3.2096,"Princess_15_2016","Before",4.1,3.9,4,1.9,2.1,12.5561475,2.381785299,29.90604753,39.39393939,0.977517107,40.371456497,0.586510264,34.906588,29.494154,190565.9038,378534.2438
"66","Princess","16","2016",2016-09-21,"2016 b","Princess_16_2016-09-21","Shahar Malamud","Epinephelus fasciatus","Epinephelus fasciatus","Serranidae",1,32,NA,"Shahar Malamud_2016","Princess_16","T",0.01945,2.9315,"Princess_16_2016","Before",1.9,1.6,3.7,2.7,1,2.38716,2.547504278,6.081300311,35.79335793,1.10701107,36.900369,0.73800738,34.906537,29.494071,190560.9455,378524.9876
