,Species,Species_2015,Family,Status
57,Chaetodon paucifasciatus,Chaetodon paucifasciatus,Chaetodontidae,T
58,Chaetodon trifascialis,Chaetodon trifascialis,Chaetodontidae,T
59,Heniochus diphreutes,Heniochus spp.,Chaetodontidae,T
60,Heniochus intermedius,Heniochus spp.,Chaetodontidae,T
61,Heniochus spp.,Heniochus spp.,Chaetodontidae,T
62,Cirrhitichthys oxycephalus,Cirrhitichthys oxycephalus,Cirrhitidae,C
63,Paracirrhites forsteri,Paracirrhites forsteri,Cirrhitidae,T
64,Spratelloides gracilis,Clupeidae,Clupeidae,T
65,Taeniura lymma,Taeniura lymma,Dasyatidae,T
66,Cyclichthys spilostylus,Diodontidae,Diodontidae,T
67,Diodon holocanthus,Diodontidae,Diodontidae,T
68,Diodon hystrix,Diodontidae,Diodontidae,T
69,Diodon spp.,Diodontidae,Diodontidae,T
70,Fistularia commersonii,Fistularia commersonii,Fistulariidae,T
71,Gerres oyena,Gerreidae,Gerreidae,T
72,Amblyeleotris steinitzi,Gobiidae,Gobiidae,C
73,Amblyeleotris sungami,Gobiidae,Gobiidae,C
74,Amblygobius albimaculatus,Gobiidae,Gobiidae,C
75,Asterropteryx semipunctata,Gobiidae,Gobiidae,C
76,Bryaninops natans,Gobiidae,Gobiidae,C
77,Cryptocentrus caeruleopunctatus,Gobiidae,Gobiidae,C
78,Ctenogobiops maculosus,Gobiidae,Gobiidae,C
79,Eviota guttata,Gobiidae,Gobiidae,C
80,Eviota prasina,Gobiidae,Gobiidae,C
81,Eviota prasites,Gobiidae,Gobiidae,C
82,Eviota sebreei,Gobiidae,Gobiidae,C
83,Fusigobius longispinus,Gobiidae,Gobiidae,C
84,Fusigobius neophytus,Gobiidae,Gobiidae,C
85,Gnatholepis anjerensis,Gobiidae,Gobiidae,C
86,Gobiidae spp.,Gobiidae,Gobiidae,C
87,Gobiodon citrinus,Gobiidae,Gobiidae,C
88,Gobiodon reticulatus,Gobiidae,Gobiidae,C
89,Gobiodon rivulatus,Gobiidae,Gobiidae,C
90,Istigobius decoratus,Gobiidae,Gobiidae,C
91,Koumansetta hectori,Gobiidae,Gobiidae,C
92,Lotilia graciliosa,Gobiidae,Gobiidae,C
93,Paragobiodon echinocephalus,Gobiidae,Gobiidae,C
94,Paragobiodon xanthosoma,Gobiidae,Gobiidae,C
95,Pleurosicya micheli,Gobiidae,Gobiidae,C
96,Trimma avidori,Gobiidae,Gobiidae,C
97,Trimma barralli,Gobiidae,Gobiidae,C
98,Trimma flavicaudatum,Gobiidae,Gobiidae,C
99,Hemiramphus far,Hemiramphidae,Hemiramphidae,T
100,Hyporhamphus gamberur,Hemiramphidae,Hemiramphidae,T
101,Myripristis murdjan,Holocentridae,Holocentridae,C
102,Neoniphon sammara,Holocentridae,Holocentridae,C
103,Sargocentron caudimaculatum,Sargocentron spp.,Holocentridae,C
104,Sargocentron diadema,Sargocentron spp.,Holocentridae,C
105,Sargocentron rubrum,Sargocentron spp.,Holocentridae,C
106,Sargocentron spiniferum,Sargocentron spp.,Holocentridae,C
107,Sargocentron spp.,Sargocentron spp.,Holocentridae,C
108,Anampses lineatus,Labridae,Labridae,T
109,Anampses meleagrides,Labridae,Labridae,T
110,Anampses spp.,Labridae,Labridae,T
111,Anampses twistii,Labridae,Labridae,T
112,Bodianus anthioides,Bodianus anthioides,Labridae,T
113,Bodianus axillaris,Labridae,Labridae,T
114,Bodianus diana,Labridae,Labridae,T
115,Cheilinus abudjubbe,Labridae,Labridae,T
116,Cheilinus lunulatus,Labridae,Labridae,T
117,Cheilio inermis,Labridae,Labridae,T
118,Cirrhilabrus rubriventralis,Labridae,Labridae,T
119,Coris aygula,Labridae,Labridae,T
120,Coris caudimacula,Coris caudimacula,Labridae,T
121,Coris cuvieri,Labridae,Labridae,T
122,Coris variegata,Labridae,Labridae,T
123,Gomphosus caeruleus,Gomphosus caeruleus,Labridae,T
124,Halichoeres hortulanus,Labridae,Labridae,T
125,Halichoeres marginatus,Labridae,Labridae,T
126,Halichoeres scapularis,Labridae,Labridae,T
127,Halichoeres spp.,Labridae,Labridae,T
128,Hemigymnus fasciatus,Labridae,Labridae,T
129,Hologymnosus annulatus,Labridae,Labridae,T
130,Labrid spp. ,Labridae,Labridae,T
131,Labroides dimidiatus,Labroides dimidiatus,Labridae,C
132,Larabicus quadrilineatus,Larabicus quadrilineatus,Labridae,C
133,Macropharyngodon bipartitus,Labridae,Labridae,T
134,Oxycheilinus digramma,Labridae,Labridae,T
135,Paracheilinus octotaenia,Labridae,Labridae,T
136,Pseudocheilinus evanidus,Pseudocheilinus evanidus,Labridae,T
137,Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,Labridae,T
138,Stethojulis albovittata,Labridae,Labridae,T
139,Stethojulis interrupta,Labridae,Labridae,T
140,Stethojulis spp.,Labridae,Labridae,T
141,Thalassoma lunare,Thalassoma spp.,Labridae,T
142,Thalassoma rueppellii,Thalassoma spp.,Labridae,T
143,Thalassoma spp.,Thalassoma spp.,Labridae,T
144,Lethrinus borbonicus,Lethrinidae,Lethrinidae,T
145,Lethrinus mahsena,Lethrinidae,Lethrinidae,T
146,Lethrinus nebulosus,Lethrinidae,Lethrinidae,T
147,Lethrinus obsoletus,Lethrinidae,Lethrinidae,T
148,Lethrinus spp.,Lethrinidae,Lethrinidae,T
149,Monotaxis grandoculis,Lethrinidae,Lethrinidae,T
150,Lutjanus bohar,Lethrinidae,Lutjanidae,T
151,Aluterus scriptus,Monacanthidae,Monacanthidae,T
152,Amanses scopas,Monacanthidae,Monacanthidae,T
153,Cantherhines dumerilii,Monacanthidae,Monacanthidae,T
154,Cantherhines pardalis,Monacanthidae,Monacanthidae,T
155,Monacanthidae spp. ,Monacanthidae,Monacanthidae,T
156,Oxymonacanthus halli,Monacanthidae,Monacanthidae,C
157,Crenimugil crenilabis,Mugilidae,Mugilidae,T
158,Mugilidae spp.,Mugilidae,Mugilidae,T
159,Mullidae spp. ,Mullidae,Mullidae,T
160,Mulloidichthys flavolineatus,Mullidae,Mullidae,T
161,Mulloidichthys vanicolensis,Mullidae,Mullidae,NA
162,Parupeneus cyclostomus,Parupeneus cyclostomus,Mullidae,T
163,Parupeneus forsskali,Mullidae,Mullidae,T
164,Parupeneus macronemus,Mullidae,Mullidae,T
165,Parupeneus rubescens,Mullidae,Mullidae,T
166,Gymnothorax flavimarginatus,Muraenidae,Muraenidae,C
167,Gymnothorax griseus,Muraenidae,Muraenidae,C
168,Gymnothorax javanicus,Muraenidae,Muraenidae,NA
169,Gymnothorax nudivomer,Muraenidae,Muraenidae,C
170,Gymnothorax undulatus,Muraenidae,Muraenidae,C
171,Muraenidae spp.,Muraenidae,Muraenidae,C
172,Scolopsis ghanam,Scolopsis ghanam,Nemipteridae,T
173,Myrichthys maculosus,Ophichthidae,Ophichthidae,C
174,Ostracion cubicus,Ostracion spp.,Ostraciidae,T
175,Ostracion cyanurus,Ostracion spp.,Ostraciidae,T
176,Ostracion spp.,Ostracion spp.,Ostraciidae,T
177,Parapriacanthus ransonneti,Pempheridae,Pempheridae,C
178,Parapercis hexophtalma,Pinguipedidae,Pinguipedidae,C
179,Pinguipedidae spp.,Pinguipedidae,Pinguipedidae,C
180,Papilloculiceps longiceps,Platycephalidae,Platycephalidae,C
181,Apolemichthys xanthotis,Apolemichthys xanthotis,Pomacanthidae,T
182,Centropyge multispinis,Centropyge multispinis,Pomacanthidae,T
183,Pomacanthus imperator,Pomacentridae,Pomacanthidae,T
184,Pygoplites diacanthus,Pomacanthidae,Pomacanthidae,T
185,Abudefduf sexfasciatus,Abudefduf spp.,Pomacentridae,T
186,Abudefduf sordidus,Abudefduf spp.,Pomacentridae,T
187,Abudefduf spp.,Abudefduf spp.,Pomacentridae,T
188,Abudefduf vaigiensis,Abudefduf spp.,Pomacentridae,T
189,Amblyglyphidodon flavilatus,Amblyglyphidodon spp.,Pomacentridae,C
190,Amblyglyphidodon indicus,Amblyglyphidodon spp.,Pomacentridae,C
191,Amblyglyphidodon leucogaster,Amblyglyphidodon spp.,Pomacentridae,C
192,Amblyglyphidodon spp.,Amblyglyphidodon spp.,Pomacentridae,C
193,Amphiprion bicinctus,Amphiprion bicinctus,Pomacentridae,C
194,Chromis dimidiata,Chromis dimidiata,Pomacentridae,C
195,Chromis flavaxilla,Chromis spp.,Pomacentridae,C
196,Chromis pelloura,Chromis spp.,Pomacentridae,C
197,Chromis pembae,Chromis spp.,Pomacentridae,T
198,Chromis spp.,Chromis spp.,Pomacentridae,C
199,Chromis ternatensis,Chromis spp.,Pomacentridae,C
200,Chromis viridis,Chromis viridis,Pomacentridae,C
201,Chromis weberi,Chromis spp.,Pomacentridae,T
202,Chrysiptera unimaculata,Pomacentridae,Pomacentridae,C
203,Dascyllus aruanus,Dascyllus aruanus,Pomacentridae,C
204,Dascyllus marginatus,Dascyllus marginatus,Pomacentridae,C
205,Dascyllus trimaculatus,Dascyllus trimaculatus,Pomacentridae,C
206,Neoglyphidodon melas,Neoglyphidodon melas,Pomacentridae,C
207,Neopomacentrus miryae,Neopomacentrus miryae,Pomacentridae,T
208,Plectroglyphidodon lacrymatus,Pomacentridae,Pomacentridae,C
209,Plectroglyphidodon leucozonus,Pomacentridae,Pomacentridae,C
210,Plectroglyphidodon spp.,Pomacentridae,Pomacentridae,C
211,Pomacanthus spp.,Pomacentridae,Pomacentridae,T
212,Pomacentrus sulfureus,Pomacentrus sulfureus,Pomacentridae,C
213,Pomacentrus trichrourus,Pomacentrus trichrourus,Pomacentridae,C
214,Pomacentrus trilineatus,Pomacentridae,Pomacentridae,C
215,Priacanthus hamrur,Priacanthidae,Priacanthidae,C
216,Haliophis guttatus,Pseudochromidae,Pseudochromidae,C
217,Haliophis sp.,Pseudochromidae,Pseudochromidae,C
218,Pseudochromis flavivertex,Pseudochromidae,Pseudochromidae,C
219,Pseudochromis fridmani,Pseudochromis fridmani,Pseudochromidae,C
220,Pseudochromis olivaceus,Pseudochromis olivaceus,Pseudochromidae,C
221,Pseudochromis pesi,Pseudochromidae,Pseudochromidae,C
222,Pseudochromis spp.,Pseudochromidae,Pseudochromidae,C
223,Pseudochromis springeri,Pseudochromis springeri,Pseudochromidae,C
224,Calotomus viridescens,Scaridae,Scaridae,T
225,Cetoscarus bicolor,Scaridae,Scaridae,T
226,Chlorurus gibbus,Scaridae,Scaridae,T
227,Chlorurus sordidus,Scaridae,Scaridae,T
228,Hipposcarus harid,Scaridae,Scaridae,T
229,Scaridae spp.,Scaridae,Scaridae,T
230,Scarus collana,Scaridae,Scaridae,T
231,Scarus ferrugineus,Scaridae,Scaridae,T
232,Scarus frenatus,Scaridae,Scaridae,T
233,Scarus fuscopurpureus,Scaridae,Scaridae,T
234,Scarus niger,Scaridae,Scaridae,T
235,Scarus psittacus,Scaridae,Scaridae,T
236,Scarus spp.,Scaridae,Scaridae,C
237,Pterois miles,Pterois miles,Scorpaenidae,T
238,Pterois radiata,Pterois radiata,Scorpaenidae,C
239,Scorpaenodes parvipinnis,Scorpaenidae,Scorpaenidae,NA
240,Scorpaenopsis barbata,Scorpaenidae,Scorpaenidae,C
241,Scorpaenopsis diabolus,Scorpaenidae,Scorpaenidae,C
242,Scorpaenopsis spp.,Scorpaenidae,Scorpaenidae,C
243,Sebastapistes cyanostigma,Scorpaenidae,Scorpaenidae,C
244,Aethaloperca rogaa,Serranidae,Serranidae,T
245,Cephalopholis argus,Serranidae,Serranidae,T
246,Cephalopholis hemistiktos,Serranidae,Serranidae,T
247,Cephalopholis miniata,Serranidae,Serranidae,T
248,Epinephelus fasciatus,Epinephelus fasciatus,Serranidae,T
249,Epinephelus malabaricus,Serranidae,Serranidae,T
250,Epinephelus tauvina,Serranidae,Serranidae,T
251,Grammistes sexlineatus,Grammistes sexlineatus,Serranidae,T
252,Pseudanthias spp.,Pseudanthias spp.,Serranidae,T
253,Pseudanthias squamipinnis,Pseudanthias spp.,Serranidae,T
254,Serranidae spp.,Serranidae,Serranidae,T
255,Variola louti,Variola louti,Serranidae,T
256,Siganus  spp.,Siganus  spp.,Siganidae,T
257,Siganus argenteus,Siganus  spp.,Siganidae,T
258,Siganus luridus,Siganus  spp.,Siganidae,T
259,Siganus rivulatus,Siganus  spp.,Siganidae,T
260,Siganus stellatus,Siganus  spp.,Siganidae,T
261,Pardachirus marmoratus,Soleidae,Soleidae,C
262,Acanthopagrus bifasciatus,Sparidae,Sparidae,T
263,Diplodus noct,Sparidae,Sparidae,T
264,Sphyraena barracuda,Sphyraena barracuda,Sphyraenidae,T
265,Sphyraena flavicauda,Sphyraena flavicauda,Sphyraenidae,T
266,Inimicus filamentosus,Synanceiidae,Synanceiidae,C
267,Synanceia verrucosa,Synanceia verrucosa,Synanceiidae,C
268,Corythoichthys flavofasciatus,Syngnathidae,Syngnathidae,C
269,Corythoichthys nigripectus,Syngnathidae,Syngnathidae,C
270,Corythoichthys schultzi,Syngnathidae,Syngnathidae,C
271,Dunckerocampus multiannulatus,Syngnathidae,Syngnathidae,C
272,Syngnathidae spp.,Syngnathidae,Syngnathidae,C
273,Saurida gracilis,Synodontidae,Synodontidae,C
274,Synodontidae spp.,Synodontidae,Synodontidae,C
275,Synodus variegatus,Synodontidae,Synodontidae,C
276,Arothron diadematus,Arothron spp.,Tetraodontidae,T
277,Arothron hispidus,Arothron spp.,Tetraodontidae,T
278,Arothron spp.,Arothron spp.,Tetraodontidae,T
279,Canthigaster coronata,Canthigaster spp.,Tetraodontidae,T
280,Canthigaster margaritata,Canthigaster spp.,Tetraodontidae,T
281,Canthigaster pygmaea,Canthigaster spp.,Tetraodontidae,T
282,Canthigaster spp.,Canthigaster spp.,Tetraodontidae,T
283,Torpedo panthera,Torpedinidae,Torpedinidae,C
284,Enneapterygius pusillus,Tripterygiidae,Tripterygiidae,C
285,Tripterygiidae sp.,Tripterygiidae,Tripterygiidae,C
